signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2025-02-27,1101.TW,1293000,1000000000.0,35.099998474121094,BUY_CASH_CAP_CORRECTION,1293000.0,0.045401848026275636,0.0
2025-02-27,1519.TW,72000,1000000000.0,629.9999707031251,BUY_CASH_CAP_CORRECTION,72000.0,0.04567499787597657,0.0
2025-02-27,2002.TW,1863000,1000000000.0,24.350000381469727,BUY_CASH_CAP_CORRECTION,1863000.0,0.045376225710868835,0.0
2025-02-27,2059.TW,22000,1000000000.0,1990.0,BUY_CASH_CAP_CORRECTION,22000.0,0.044775,0.0
2025-02-27,2383.TW,71000,1000000000.0,632.0,BUY_CASH_CAP_CORRECTION,71000.0,0.045188,0.0
2025-02-27,2834.TW,2900000,1000000000.0,15.649999171447757,BUY_CASH_CAP_CORRECTION,2900000.0,0.04539282259678422,0.0
2025-02-27,3044.TW,217000,1000000000.0,208.5,BUY_CASH_CAP_CORRECTION,217000.0,0.04534875,0.0
2025-02-27,3293.TWO,46000,1000000000.0,982.0,BUY_CASH_CAP_CORRECTION,46000.0,0.045663,0.0
2025-02-27,3324.TWO,65000,1000000000.0,689.0,BUY_CASH_CAP_CORRECTION,65000.0,0.0451295,0.0
2025-02-27,5347.TWO,453000,1000000000.0,100.0,BUY_CASH_CAP_CORRECTION,453000.0,0.04535,0.0
2025-02-27,5508.TWO,296000,1000000000.0,153.0,BUY_CASH_CAP_CORRECTION,296000.0,0.0453645,0.0
2025-02-27,5530.TWO,699000,1000000000.0,64.9000015258789,BUY_CASH_CAP_CORRECTION,699000.0,0.04539755106735229,0.0
2025-02-27,5904.TWO,87000,1000000000.0,519.0000030517577,BUY_CASH_CAP_CORRECTION,87000.0,0.045412500267028796,0.0
2025-02-27,6125.TWO,503000,1000000000.0,90.1999969482422,BUY_CASH_CAP_CORRECTION,503000.0,0.04541569846343995,0.0
2025-02-27,6415.TW,100000,1000000000.0,452.5,BUY_CASH_CAP_CORRECTION,100000.0,0.04547625,0.0
2025-02-27,6488.TWO,120000,1000000000.0,378.0,BUY_CASH_CAP_CORRECTION,120000.0,0.045549,0.0
2025-02-27,8299.TWO,81000,1000000000.0,559.0,BUY_CASH_CAP_CORRECTION,81000.0,0.0455585,0.0
2025-02-27,8464.TW,101000,1000000000.0,446.0,BUY_CASH_CAP_CORRECTION,101000.0,0.045269,0.0
2025-02-27,9904.TW,1181000,1000000000.0,38.400001525878906,BUY_CASH_CAP_CORRECTION,1181000.0,0.045369601802825926,0.0
2025-02-27,9910.TW,328000,1000000000.0,138.0,BUY_CASH_CAP_CORRECTION,328000.0,0.045333,0.0
2025-03-03,2886.TW,21000,997909957.8705753,40.150001525878906,BUY_CASH_CAP_CORRECTION,21000.0,0.0008650329881950663,0.0
2025-03-03,3045.TW,7000,997909957.8705753,116.5,BUY_CASH_CAP_CORRECTION,7000.0,0.0008755799990857708,0.0
2025-03-04,3293.TWO,-46000,992607508.1565119,921.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
