date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2025-03-03,999218589.7343265,102636439.24720035,20,,False,0,False,0,False,,,,999218589.7343265,102636439.24720035,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-04,995847519.8956609,101790372.81649543,21,,False,0,False,0,False,,,,995847519.8956609,101790372.81649543,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-05,1001591527.8143843,145348180.87222776,20,,False,0,False,0,False,,,,1001591527.8143843,145348180.87222776,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-06,1003275438.7052271,125565239.67250045,21,,False,0,False,0,False,,,,1003275438.7052271,125565239.67250045,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-07,997706099.4899658,167537897.58311534,20,,False,0,False,0,False,,,,997706099.4899658,167537897.58311534,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-10,995066097.5867739,122816548.00993499,24,,False,0,False,0,False,,,,995066097.5867739,122816548.00993499,24,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-11,982653746.3482134,164028101.1119414,23,,False,0,False,0,False,,,,982653746.3482134,164028101.1119414,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-12,979947359.6952647,119801063.68644604,30,,False,0,False,0,False,,,,979947359.6952647,119801063.68644604,30,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-13,977427145.5917645,185628543.82081413,26,,False,0,False,0,False,,,,977427145.5917645,185628543.82081413,26,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-14,980715132.0773458,117801588.008112,26,,False,0,False,0,False,,,,980715132.0773458,117801588.008112,26,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-17,981677735.7750707,199699588.59944516,24,,False,0,False,0,False,,,,981677735.7750707,199699588.59944516,24,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-18,983825588.2961676,115206292.9190267,24,,False,0,False,0,False,,,,983825588.2961676,115206292.9190267,24,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-19,976755534.1181614,177111785.29563814,22,,False,0,False,0,False,,,,976755534.1181614,177111785.29563814,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-20,983777839.590289,117387394.81199375,27,,False,0,False,0,False,,,,983777839.590289,117387394.81199375,27,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-21,980923237.8170475,184371642.75803125,25,,False,0,False,0,False,,,,980923237.8170475,184371642.75803125,25,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-24,971350328.2720437,117707329.67095083,26,,False,0,False,0,False,,,,971350328.2720437,117707329.67095083,26,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-25,969367910.6489918,184838517.19865888,24,,False,0,False,0,False,,,,969367910.6489918,184838517.19865888,24,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-26,970432302.0099645,117630951.01932597,30,,False,0,False,0,False,,,,970432302.0099645,117630951.01932597,30,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-27,969718456.2300237,184180159.21037555,27,,False,0,False,0,False,,,,969718456.2300237,184180159.21037555,27,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-28,955251172.1372964,117422634.38853051,27,,False,0,False,0,False,,,,955251172.1372964,117422634.38853051,27,0,UNKNOWN,BLOCK_SUBMISSION
2025-03-31,923325119.1553488,182896071.28623587,25,,False,0,False,0,False,,,,923325119.1553488,182896071.28623587,25,0,UNKNOWN,BLOCK_SUBMISSION
2025-04-01,936599791.1415778,108642943.06073354,25,,False,0,False,0,False,,,,936599791.1415778,108642943.06073354,25,0,UNKNOWN,BLOCK_SUBMISSION
2025-04-02,938286330.4841404,186189530.18777984,22,,False,0,False,0,False,,,,938286330.4841404,186189530.18777984,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-04-07,871715907.9747751,119700060.60820177,22,,False,0,False,0,False,,,,871715907.9747751,119700060.60820177,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-04-08,845311755.3388096,146063854.872939,21,,False,0,False,0,False,,,,845311755.3388096,146063854.872939,21,0,UNKNOWN,BLOCK_SUBMISSION
