date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2026-06-01,2026-05-29,1503.TW,1503.TW,208000,220.78030243906,45922302.90732448,65439.281642937385,0.0,0.0,0.03615405032261406,5753159.0
2026-06-01,2026-05-29,2301.TW,2301.TW,194000,235.86689328603856,45758177.29749148,65205.40264892537,0.0,0.0,0.005431160516381304,35719806.0
2026-06-01,2026-05-29,2303.TW,2303.TW,316000,148.25645300008853,46849039.14802797,66759.88078593987,0.0,0.0,0.0010924097514067083,289268747.0
2026-06-01,2026-05-29,2308.TW,2308.TW,18000,2442.950890312634,43973116.02562741,62661.69033651907,0.0,0.0,0.0018291067587628694,9840869.0
2026-06-01,2026-05-29,2360.TW,2360.TW,18000,2597.3332293790995,46751998.128823794,66621.59733357391,0.0,0.0,0.004593722270186921,3918391.0
2026-06-01,2026-05-29,2449.TW,2449.TW,139000,321.4126732927551,44676361.58769295,63663.81526246246,0.0,0.0,0.002690599504089605,51661349.0
2026-06-01,2026-05-29,2454.TW,2454.TW,10000,4553.062703368773,45530627.03368773,64881.14352300502,0.0,0.0,0.0004979113366295395,20083897.0
2026-06-01,2026-05-29,2881.TW,2881.TW,415000,109.66907885294155,45512667.72397074,64855.55150665831,0.0,0.0,0.004725088757091931,87829038.0
2026-06-01,2026-05-29,2882.TW,2882.TW,533000,87.69792205459777,46742992.45510061,66608.76424851838,0.0,0.0,0.009218540037157115,57818266.0
2026-06-01,2026-05-29,2885.TW,2885.TW,767000,59.02327487496003,45270851.82909434,64510.96385645944,0.0,0.0,0.024615335636520005,31159437.0
2026-06-01,2026-05-29,2891.TW,2891.TW,755000,61.95647507851223,46777138.68427673,66657.42262509435,0.0,0.0,0.01719424571679383,43910039.0
2026-06-01,2026-05-29,3037.TW,3037.TW,43000,1061.1337390262647,45628750.778129384,65020.969858834374,0.0,0.0,0.0022480600418149626,19127603.0
2026-06-01,2026-05-29,3105.TWO,3105.TWO,86000,534.9550670713628,46006135.7681372,65558.74346959552,0.0,0.0,0.0036010458274535443,23881951.0
2026-06-01,2026-05-29,3131.TWO,3131.TWO,13000,3299.8680856384926,42898285.113300405,61130.05628645308,0.0,0.0,0.023222786913066392,559795.0
2026-06-01,2026-05-29,3211.TWO,3211.TWO,104000,439.53604320413007,45711748.49322952,65139.241602852075,0.0,0.0,0.012789563716007738,8131630.0
2026-06-01,2026-05-29,3711.TW,3711.TW,74000,605.977124316079,44842307.199389845,63900.28775913053,0.0,0.0,0.0028643472988585652,25834856.0
2026-06-01,2026-05-29,4979.TWO,4979.TWO,73000,656.3057097833355,47910316.81418349,68272.20146021148,0.0,0.0,0.007921483127349452,9215446.0
2026-06-01,2026-05-29,6125.TWO,6125.TWO,685000,72.7680235228905,49846096.11318,71030.68696128149,0.0,0.0,0.0819025495964775,8363598.0
2026-06-01,2026-05-29,6415.TW,6415.TW,76000,608.1070280842831,46216134.134405516,65857.99114152786,0.0,0.0,0.009953810390651695,7635267.0
2026-06-01,2026-05-29,8086.TWO,8086.TWO,270000,166.82084286792667,45041627.5743402,64184.31929343479,0.0,0.0,0.06399188488096917,4219285.0
2026-06-02,2026-06-01,6274.TWO,6274.TWO,1000,1612.441048027784,1612441.048027784,2297.7284934395925,0.0,0.0,0.00012595700558380002,7939217.0
2026-06-03,2026-06-02,2449.TW,2449.TW,-139000,321.4763582936831,44685213.80282196,63676.42966902129,134055.64140846586,0.0,0.002998355089455385,46358752.0
2026-06-04,2026-06-03,6274.TWO,6274.TWO,9000,1672.7073434391298,15054366.090952167,21452.47167960684,0.0,0.0,0.002608321414753535,3450495.0
