date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2013-01-02,2012-12-28,1326.TW,1326.TW,549000,75.19984116079904,41284712.79727867,58830.71573612211,0.0,0.0,0.10587994333012286,5185118.0
2013-01-02,2012-12-28,1504.TW,1504.TW,1855000,22.33933096730265,41439458.94434642,59051.22899569365,0.0,0.0,0.509912506710641,3637879.0
2013-01-02,2012-12-28,1605.TW,1605.TW,4162000,10.114379521038343,42096047.56656158,59986.86778235025,0.0,0.0,0.25747234291109417,16164843.0
2013-01-02,2012-12-28,1802.TW,1802.TW,1376000,30.5377814851609,42019987.3235814,59878.4819361035,0.0,0.0,0.8117438570575701,1695116.0
2013-01-02,2012-12-28,2002.TW,2002.TW,1508000,27.47426157966416,41431186.46213355,59039.44070854031,0.0,0.0,0.05836328225036741,25838163.0
2013-01-02,2012-12-28,2059.TW,2059.TW,223000,185.4151912502266,41347587.64880053,58920.31239954076,0.0,0.0,0.5390053779684573,413725.0
2013-01-02,2012-12-28,2207.TW,2207.TW,176000,236.41914763306096,41609769.983418725,59293.92222637169,0.0,0.0,0.438183728445593,401658.0
2013-01-02,2012-12-28,2345.TW,2345.TW,2556000,16.481161299770527,42125848.282213464,60029.333802154186,0.0,0.0,0.675647634427049,3783037.0
2013-01-02,2012-12-28,2395.TW,2395.TW,336000,122.08697120230013,41021222.32397284,58455.241811661304,0.0,0.0,0.8594801168483682,390934.0
2013-01-02,2012-12-28,2449.TW,2449.TW,2231000,18.964361803020655,42309491.18253908,60291.02493511819,0.0,0.0,0.14527067129700924,15357539.0
2013-01-02,2012-12-28,2609.TW,2609.TW,2970000,14.200050338594709,42174149.50562628,60098.16304551745,0.0,0.0,0.16075873794106488,18474890.0
2013-01-02,2012-12-28,2881.TW,2881.TW,1176000,35.22189861051298,41420952.765963264,59024.85769149765,0.0,0.0,0.06232452017274068,18868978.0
2013-01-02,2012-12-28,3017.TW,3017.TW,2663000,15.91900060445307,42392298.609658524,60409.0255187634,0.0,0.0,0.26474646772737576,10058680.0
2013-01-02,2012-12-28,3045.TW,3045.TW,385000,104.71191767395015,40314088.30447081,57447.575833870906,0.0,0.0,0.061903395972066615,6219368.0
