date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2026-08-07,2026-08-06,1590.TW,1590.TW,26000,1556.0735300325866,40457911.78084725,57652.52428770733,0.0,0.0,0.026133647473177833,994886.0
2026-08-07,2026-08-06,2059.TW,2059.TW,3000,11110.0,33330000.0,47495.25,0.0,0.0,0.00828969728788737,361895.0
2026-08-07,2026-08-06,2301.TW,2301.TW,168000,253.97548134525798,42667880.86600334,60801.73023405476,0.0,0.0,0.005090202015574564,33004584.0
2026-08-07,2026-08-06,2347.TW,2347.TW,449000,92.61243122316948,41582981.6192031,59255.74880736442,0.0,0.0,0.08757404297564506,5127090.0
2026-08-07,2026-08-06,2357.TW,2357.TW,51000,811.5776322333455,41390459.24390062,58981.404422558386,0.0,0.0,0.011047244080843299,4616536.0
2026-08-07,2026-08-06,2395.TW,2395.TW,68000,632.5019457059905,43010132.30800735,61289.43853891048,0.0,0.0,0.010777778376543243,6309278.0
2026-08-07,2026-08-06,2618.TW,2618.TW,986000,44.17312911980352,43554705.31212627,62065.45506977994,0.0,0.0,0.02634707574714802,37423508.0
2026-08-07,2026-08-06,2880.TW,2880.TW,968000,44.01008381176574,42601761.12978923,60707.50960994966,0.0,0.0,0.038944043524635485,24856176.0
2026-08-07,2026-08-06,3008.TW,3008.TW,8000,4476.389404922753,35811115.23938202,51030.839216119384,0.0,0.0,0.004801866005129593,1666019.0
2026-08-07,2026-08-06,3017.TW,3017.TW,13000,2829.5612639963674,36784296.431952775,52417.62241553271,0.0,0.0,0.003139823590219208,4140360.0
2026-08-07,2026-08-06,3037.TW,3037.TW,43000,966.3972906628961,41555083.498504534,59215.993985368965,0.0,0.0,0.001991083741787185,21596279.0
2026-08-07,2026-08-06,3081.TWO,3081.TWO,17000,2412.7154902204793,41016163.33374815,58448.03275059111,0.0,0.0,0.002832060322218496,6002697.0
2026-08-07,2026-08-06,3189.TW,3189.TW,49000,829.6414631204237,40652431.69290076,57929.71516238359,0.0,0.0,0.0030420420769051828,16107601.0
2026-08-07,2026-08-06,3231.TW,3231.TW,224000,183.82553290014343,41176919.369632125,58677.11010172578,0.0,0.0,0.003424240759835356,65415961.0
2026-08-07,2026-08-06,3324.TWO,3324.TWO,39000,1037.6406089053537,40467983.74730879,57666.87683991503,0.0,0.0,0.008460875609508462,4609452.0
2026-08-07,2026-08-06,3653.TW,3653.TW,8000,4463.215477107991,35705723.81686393,50880.6564390311,0.0,0.0,0.004621963803090476,1730866.0
2026-08-07,2026-08-06,3702.TW,3702.TW,339000,123.16737849847668,41753741.31098359,59499.081368151616,0.0,0.0,0.03394841383296719,9985739.0
2026-08-07,2026-08-06,5274.TWO,5274.TWO,1000,16605.857394786315,16605857.394786315,23663.3467875705,0.0,0.0,0.005820145852855073,171817.0
2026-08-07,2026-08-06,6187.TWO,6187.TWO,35000,1150.643875539689,40272535.643889114,57388.36329254199,0.0,0.0,0.013569762536909754,2579264.0
2026-08-07,2026-08-06,6446.TW,6446.TW,32000,1263.6220760382425,40435906.43322376,57621.16666734386,0.0,0.0,0.010001659650398238,3199469.0
2026-08-07,2026-08-06,6669.TW,6669.TW,5000,6120.486820660361,30602434.10330181,43608.46859720508,0.0,0.0,0.003503466329586493,1427158.0
2026-08-07,2026-08-06,7750.TW,7750.TW,17000,2404.9345077511143,40883886.63176894,58259.538450270746,0.0,0.0,0.036485932526779605,465933.0
