signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2025-06-30,1519.TW,73000,1000000000.0,563.0,D-1 estimated accounting; fill-day constraints require ledger audit,73000.0,0.0413805,0.0
2025-06-30,2360.TW,93000,1000000000.0,442.5,D-1 estimated accounting; fill-day constraints require ledger audit,93000.0,0.04137375,0.0
2025-06-30,2368.TW,140000,1000000000.0,295.0,D-1 estimated accounting; fill-day constraints require ledger audit,140000.0,0.0414475,0.0
2025-06-30,2383.TW,46000,1000000000.0,882.0,D-1 estimated accounting; fill-day constraints require ledger audit,46000.0,0.041013,0.0
2025-06-30,2404.TW,66000,1000000000.0,623.0,D-1 estimated accounting; fill-day constraints require ledger audit,66000.0,0.0414295,0.0
2025-06-30,3036.TW,324000,1000000000.0,128.5,D-1 estimated accounting; fill-day constraints require ledger audit,324000.0,0.04169825,0.0
2025-06-30,3037.TW,364000,1000000000.0,114.0,D-1 estimated accounting; fill-day constraints require ledger audit,364000.0,0.041553,0.0
2025-06-30,3081.TWO,126000,1000000000.0,327.5,D-1 estimated accounting; fill-day constraints require ledger audit,126000.0,0.04142875,0.0
2025-06-30,3131.TWO,25000,1000000000.0,1635.0,D-1 estimated accounting; fill-day constraints require ledger audit,25000.0,0.0416925,0.0
2025-06-30,3211.TWO,184000,1000000000.0,226.0,D-1 estimated accounting; fill-day constraints require ledger audit,184000.0,0.041697,0.0
2025-06-30,3443.TW,31000,1000000000.0,1305.0,D-1 estimated accounting; fill-day constraints require ledger audit,31000.0,0.0411075,0.0
2025-06-30,3661.TW,12000,1000000000.0,3095.0,D-1 estimated accounting; fill-day constraints require ledger audit,12000.0,0.0386875,0.0
2025-06-30,3665.TW,48000,1000000000.0,848.0,D-1 estimated accounting; fill-day constraints require ledger audit,48000.0,0.041128,0.0
2025-06-30,5274.TWO,8000,1000000000.0,4745.0,D-1 estimated accounting; fill-day constraints require ledger audit,8000.0,0.0403325,0.0
2025-06-30,6139.TW,135000,1000000000.0,306.5,D-1 estimated accounting; fill-day constraints require ledger audit,135000.0,0.04153075,0.0
2025-06-30,6187.TWO,102000,1000000000.0,404.0,D-1 estimated accounting; fill-day constraints require ledger audit,102000.0,0.04141,0.0
2025-06-30,6274.TWO,182000,1000000000.0,227.5,D-1 estimated accounting; fill-day constraints require ledger audit,182000.0,0.04151875,0.0
2025-06-30,6515.TW,31000,1000000000.0,1295.0,D-1 estimated accounting; fill-day constraints require ledger audit,31000.0,0.0407925,0.0
2025-06-30,6584.TWO,244000,1000000000.0,170.5,D-1 estimated accounting; fill-day constraints require ledger audit,244000.0,0.04168725,0.0
2025-06-30,6919.TW,30000,1000000000.0,1345.0,D-1 estimated accounting; fill-day constraints require ledger audit,30000.0,0.0410225,0.0
2025-06-30,8210.TW,84000,1000000000.0,487.0,D-1 estimated accounting; fill-day constraints require ledger audit,84000.0,0.0411515,0.0
2025-06-30,8932.TWO,320000,1000000000.0,130.0,D-1 estimated accounting; fill-day constraints require ledger audit,320000.0,0.041665,0.0
