signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2026-08-06,1590.TW,26000,1000000000.0,1560.0,D-1 estimated accounting; fill-day constraints require ledger audit,26000.0,0.04134,0.0
2026-08-06,2059.TW,3000,1000000000.0,10100.0,D-1 estimated accounting; fill-day constraints require ledger audit,3000.0,0.03535,0.0
2026-08-06,2301.TW,168000,1000000000.0,252.5,D-1 estimated accounting; fill-day constraints require ledger audit,168000.0,0.04254625,0.0
2026-08-06,2347.TW,449000,1000000000.0,94.7,D-1 estimated accounting; fill-day constraints require ledger audit,449000.0,0.04256765,0.0
2026-08-06,2357.TW,51000,1000000000.0,818.0,D-1 estimated accounting; fill-day constraints require ledger audit,51000.0,0.042127,0.0
2026-08-06,2395.TW,68000,1000000000.0,622.0,D-1 estimated accounting; fill-day constraints require ledger audit,68000.0,0.042607,0.0
2026-08-06,2451.TW,145000,1000000000.0,293.0,D-1 estimated accounting; fill-day constraints require ledger audit,145000.0,0.0426315,0.0
2026-08-06,2618.TW,985000,1000000000.0,43.25,D-1 estimated accounting; fill-day constraints require ledger audit,985000.0,0.042622875,0.0
2026-08-06,2880.TW,968000,1000000000.0,44.05,D-1 estimated accounting; fill-day constraints require ledger audit,968000.0,0.042662425,0.0
2026-08-06,3008.TW,8000,1000000000.0,4625.0,D-1 estimated accounting; fill-day constraints require ledger audit,8000.0,0.0393125,0.0
2026-08-06,3017.TW,13000,1000000000.0,2940.0,D-1 estimated accounting; fill-day constraints require ledger audit,13000.0,0.03969,0.0
2026-08-06,3081.TWO,17000,1000000000.0,2375.0,D-1 estimated accounting; fill-day constraints require ledger audit,17000.0,0.0415625,0.0
2026-08-06,3231.TW,224000,1000000000.0,189.5,D-1 estimated accounting; fill-day constraints require ledger audit,224000.0,0.04254275,0.0
2026-08-06,3293.TWO,54000,1000000000.0,784.0,D-1 estimated accounting; fill-day constraints require ledger audit,54000.0,0.042728,0.0
2026-08-06,3324.TWO,39000,1000000000.0,1060.0,D-1 estimated accounting; fill-day constraints require ledger audit,39000.0,0.04187,0.0
2026-08-06,3653.TW,8000,1000000000.0,4450.0,D-1 estimated accounting; fill-day constraints require ledger audit,8000.0,0.037825,0.0
2026-08-06,3665.TW,17000,1000000000.0,2370.0,D-1 estimated accounting; fill-day constraints require ledger audit,17000.0,0.041475,0.0
2026-08-06,5274.TWO,1000,1000000000.0,16750.0,D-1 estimated accounting; fill-day constraints require ledger audit,1000.0,0.025125,0.0
2026-08-06,6187.TWO,35000,1000000000.0,1175.0,D-1 estimated accounting; fill-day constraints require ledger audit,35000.0,0.0417125,0.0
2026-08-06,6446.TW,32000,1000000000.0,1290.0,D-1 estimated accounting; fill-day constraints require ledger audit,32000.0,0.041925,0.0
2026-08-06,6669.TW,5000,1000000000.0,6265.0,D-1 estimated accounting; fill-day constraints require ledger audit,5000.0,0.0344575,0.0
2026-08-06,7750.TW,17000,1000000000.0,2365.0,D-1 estimated accounting; fill-day constraints require ledger audit,17000.0,0.0413875,0.0
2026-08-10,2618.TW,-985000,1004057864.6178882,42.65,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2026-08-10,3163.TWO,61000,1004057864.6178882,706.0,D-1 estimated accounting; fill-day constraints require ledger audit,61000.0,0.043243523635486746,0.0
2026-08-11,3189.TW,51000,1001134133.3196045,842.0,D-1 estimated accounting; fill-day constraints require ledger audit,51000.0,0.04331387628969863,0.0
2026-08-11,3665.TW,-17000,1001134133.3196045,2200.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2026-08-12,2347.TW,-449000,1020501539.5810008,91.6,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2026-08-12,3443.TW,8000,1020501539.5810008,5130.0,D-1 estimated accounting; fill-day constraints require ledger audit,8000.0,0.042728989921860784,0.0
